--- 真实样本与生成样本详细统计结果 ---


===== 真实样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       22.00%       21.85%       279.99       244.95       391.12       
最大值       28.12%       27.91%       354.00       305.00       523.00       
3/4分位数    23.62%       23.48%       298.00       261.00       429.00       
1/4分位数    20.49%       20.33%       259.00       229.00       358.00       
最小值       14.28%       13.92%       201.00       165.00       226.00       

===== 生成样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       22.08%       22.00%       252.53       236.52       389.15       
最大值       29.69%       29.57%       317.00       288.00       493.00       
3/4分位数    23.20%       23.12%       265.00       249.00       414.00       
1/4分位数    20.84%       20.75%       238.00       222.00       365.00       
最小值       15.45%       15.18%       197.00       170.00       254.00       

===== 生成样本单项评价 =====
样本名称           偏差值数量       异常值数量       
volume_000166.raw   1              0           
volume_000250.raw   2              0           
volume_000060.raw   3              0           
volume_000202.raw   4              0           
volume_000103.raw   2              0           
volume_000280.raw   0              0           
volume_000175.raw   2              0           
volume_000271.raw   0              0           
volume_000248.raw   3              0           
volume_000029.raw   3              0           
volume_000061.raw   1              0           
volume_000110.raw   2              0           
volume_000182.raw   4              0           
volume_000038.raw   2              0           
volume_000226.raw   2              0           
volume_000014.raw   1              0           
volume_000158.raw   4              0           
volume_000093.raw   3              0           
volume_000172.raw   3              0           
volume_000236.raw   3              0           
volume_000296.raw   4              0           
volume_000035.raw   3              0           
volume_000088.raw   4              0           
volume_000218.raw   1              0           
volume_000039.raw   4              0           
volume_000044.raw   1              0           
volume_000109.raw   4              0           
volume_000187.raw   0              0           
volume_000083.raw   1              0           
volume_000257.raw   5              0           
volume_000263.raw   4              0           
volume_000067.raw   4              0           
volume_000006.raw   3              0           
volume_000002.raw   0              0           
volume_000237.raw   2              0           
volume_000177.raw   2              0           
volume_000043.raw   2              0           
volume_000128.raw   1              0           
volume_000012.raw   2              0           
volume_000070.raw   0              0           
volume_000181.raw   1              0           
volume_000167.raw   0              0           
volume_000072.raw   4              0           
volume_000117.raw   2              0           
volume_000241.raw   4              0           
volume_000260.raw   2              0           
volume_000137.raw   2              0           
volume_000252.raw   5              0           
volume_000136.raw   1              0           
volume_000299.raw   0              0           
volume_000198.raw   1              0           
volume_000098.raw   2              0           
volume_000295.raw   2              0           
volume_000121.raw   3              0           
volume_000042.raw   2              0           
volume_000028.raw   2              0           
volume_000183.raw   3              0           
volume_000037.raw   0              0           
volume_000065.raw   2              0           
volume_000047.raw   2              0           
volume_000094.raw   3              0           
volume_000132.raw   2              0           
volume_000071.raw   1              0           
volume_000048.raw   4              0           
volume_000191.raw   0              0           
volume_000138.raw   2              0           
volume_000210.raw   2              0           
volume_000240.raw   3              0           
volume_000007.raw   4              2           
volume_000204.raw   2              0           
volume_000262.raw   1              0           
volume_000266.raw   1              0           
volume_000205.raw   1              0           
volume_000108.raw   0              0           
volume_000057.raw   2              0           
volume_000130.raw   2              0           
volume_000058.raw   2              0           
volume_000239.raw   3              0           
volume_000003.raw   4              0           
volume_000053.raw   2              0           
volume_000213.raw   2              0           
volume_000165.raw   3              0           
volume_000286.raw   1              0           
volume_000009.raw   1              0           
volume_000073.raw   4              0           
volume_000019.raw   0              0           
volume_000190.raw   5              0           
volume_000091.raw   1              0           
volume_000131.raw   2              0           
volume_000018.raw   1              0           
volume_000163.raw   0              0           
volume_000100.raw   0              0           
volume_000086.raw   5              0           
volume_000291.raw   1              0           
volume_000217.raw   5              0           
volume_000082.raw   5              0           
volume_000224.raw   2              0           
volume_000011.raw   1              0           
volume_000149.raw   2              0           
volume_000279.raw   5              0           
volume_000283.raw   4              0           
volume_000152.raw   0              0           
volume_000267.raw   0              0           
volume_000193.raw   2              0           
volume_000125.raw   1              0           
volume_000022.raw   2              0           
volume_000066.raw   3              0           
volume_000031.raw   3              0           
volume_000079.raw   1              0           
volume_000287.raw   0              0           
volume_000203.raw   1              0           
volume_000154.raw   3              0           
volume_000173.raw   2              0           
volume_000160.raw   5              0           
volume_000055.raw   2              0           
volume_000243.raw   1              0           
volume_000026.raw   3              0           
volume_000255.raw   1              0           
volume_000277.raw   1              0           
volume_000129.raw   3              0           
volume_000021.raw   0              0           
volume_000033.raw   5              0           
volume_000111.raw   5              0           
volume_000017.raw   3              0           
volume_000020.raw   2              0           
volume_000269.raw   5              0           
volume_000075.raw   3              0           
volume_000293.raw   1              0           
volume_000228.raw   1              0           
volume_000188.raw   3              0           
volume_000046.raw   1              0           
volume_000214.raw   1              0           
volume_000134.raw   1              0           
volume_000199.raw   2              0           
volume_000112.raw   0              0           
volume_000025.raw   3              0           
volume_000208.raw   2              0           
volume_000170.raw   2              0           
volume_000153.raw   4              0           
volume_000045.raw   0              0           
volume_000144.raw   1              0           
volume_000063.raw   3              0           
volume_000282.raw   4              0           
volume_000212.raw   3              0           
volume_000056.raw   2              0           
volume_000268.raw   3              0           
volume_000041.raw   3              0           
volume_000059.raw   3              0           
volume_000247.raw   5              0           
volume_000171.raw   0              0           
volume_000054.raw   0              0           
volume_000288.raw   2              0           
volume_000113.raw   2              0           
volume_000197.raw   2              0           
volume_000258.raw   2              0           
volume_000233.raw   4              0           
volume_000036.raw   2              0           
volume_000297.raw   2              0           
volume_000200.raw   4              0           
volume_000265.raw   0              0           
volume_000164.raw   0              0           
volume_000127.raw   4              0           
volume_000147.raw   5              0           
volume_000099.raw   2              0           
volume_000232.raw   2              0           
volume_000155.raw   3              0           
volume_000064.raw   0              0           
volume_000080.raw   3              0           

--------------------------------------------------
总计                685 / 1500       6           
总孔隙率总计    偏差值  124       异常值  2
连通孔隙率总计   偏差值  122       异常值  2
总孔隙数总计    偏差值  196       异常值  2
连通孔隙数总计   偏差值  141       异常值  0
喉道数量总计    偏差值  102       异常值  0

--- 真实样本与生成样本对比结果（平均值） ---
指标              真实样本         生成样本        绝对误差        相对误差      
---------------------------------------------------------------------------
总孔隙率           22.00%         22.08%         0.09%          0.40%          
连通孔隙率          21.85%         22.00%         0.15%          0.68%          
总孔隙数           279.99         252.53         27.46          9.81%          
连通孔隙数          244.95         236.52         8.42           3.44%          
喉道数量           391.12         389.15         1.97           0.50%          
